25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDPERS value: 4726.395391416173
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OFDPULP value: 2014.39365125008
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OFDRET value: 8651.909455369241
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OFDWHO value: 3582.9098733662267
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OFDTRA value: 2315.478996113702
25-Jan-2007 13:55:37, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:55:37, GAIA, [main], INFO, Beginning submodel 'Output_Linear' of type 'Linear'
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OACC value: 832.9977720337803
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OAGM value: 4511.551066662761
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OCOM value: 6946.739201038121
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OCON value: 8693.981884593528
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OELE value: 1934.1961479777115
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OFIR value: 14194.041488737543
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OFOO value: 5733.380688455266
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OGOV value: 6702.156121823334
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OHEA value: 6762.0068250935765
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OHIED value: 1538.0060949654232
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OHOME value: 83.66731
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OLOED value: 2194.3162
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OLUM value: 11473.997601916633
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OOD value: 12842.068167443247
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OOND value: 4169.000312530219
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OPERS value: 6871.030454881582
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OPULP value: 2487.5550097855585
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: ORET value: 10431.415614549795
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OWHO value: 8657.474833454933
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OTRA value: 5324.364622756996
25-Jan-2007 13:55:37, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:55:37, GAIA, [main], INFO, Beginning submodel 'Employment' of type 'SimpleFunctions'
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPACC value: 20402.288422004083
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPAGM value: 94369.82466532958
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPCOM value: 23732.56841020004
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPCON value: 78667.10224670474
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPELE value: 29375.18840526998
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPFIRP value: 174047.2897529659
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPFOO value: 25260.174135029494
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPGOV value: 120120.54780253048
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPHEA value: 101671.97156286547
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPHIED value: 45710.163927870046
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPHOME value: 14049.355309989767
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPLOED value: 90960.76538460498
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPLUM value: 62306.40523952668
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPDG value: 67007.81311713792
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPOND value: 30917.202932418437
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPPAP value: 8956.581876490318
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPPERS value: 231070.26338164715
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPRET value: 286039.1055276907
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPTRAN value: 53636.80046581726
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OEMPWHO value: 84616.11847194906
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: ON value: 1642917.5310380422
25-Jan-2007 13:55:37, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:55:37, GAIA, [main], INFO, Beginning submodel 'Labor Income' of type 'SimpleFunctions'
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:55:37, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OLIACC value: 267959.23363012675
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OLIAGR value: 446957.66983713664
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OLICOM value: 1077831.77602174
25-Jan-2007 13:55:37, GAIA, [main], INFO, 		variable: OLICON value: 2455846.1472300617
