ZoneNumber,Commodity,TargetPrice,Tolerance,region,type,confidence
2711,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2712,FLR Hospital,15.58727074,15.58727074,OR-Small Cities,Office,VLow
2721,FLR Hospital,15.20767403,15.20767403,OR-Small Cities,Office,VLow
2722,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2724,FLR Hospital,15.20767403,15.20767403,OR-Small Cities,Office,VLow
2726,FLR Hospital,15.20767403,15.20767403,OR-Small Cities,Office,VLow
2727,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2732,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2733,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2735,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2740,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2742,FLR Hospital,38.920578,38.920578,OR-Small Cities,Office,VLow
2756,FLR Hospital,15.41973782,7.70986891,RogueValley,Office,Medium
2759,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2767,FLR Hospital,15.41973782,7.70986891,RogueValley,Office,Medium
2772,FLR Hospital,15.41973782,7.70986891,RogueValley,Office,Medium
2779,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2782,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2783,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2784,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2787,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2800,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2807,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2817,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2821,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2822,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2823,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2824,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2825,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2826,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2827,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2828,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2829,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2830,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2831,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2836,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2837,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2839,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2841,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2842,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2843,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2846,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2847,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2848,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2857,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2859,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2860,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2861,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2863,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2866,FLR Hospital,12.70064831,6.350324155,Redmond,Office,Medium
2872,FLR Hospital,12.70064831,6.350324155,Redmond,Office,Medium
2878,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2879,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2884,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2889,FLR Hospital,12.98783016,6.49391508,Deschutes-Rural,Office,Medium
2894,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2895,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2896,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2897,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2898,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2899,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2900,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2901,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2906,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2908,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2911,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2955,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2956,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2957,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2958,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
