ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
4141,FLR Light Industry,218802.26,218802.26,Halo-Small Cities,Industrial,100%
1,FLR Warehouse,1745.501909,1000,Metro,Warehouse,50%
17,FLR Warehouse,4622610.77,2311305.385,Metro,Warehouse,50%
19,FLR Warehouse,18643114.19,9321557.096,Metro,Warehouse,50%
31,FLR Warehouse,17575.12989,8787.564945,Metro,Warehouse,50%
37,FLR Warehouse,6057.96,3028.98,Metro,Warehouse,50%
79,FLR Warehouse,26201.44306,13100.72153,Metro,Warehouse,50%
81,FLR Warehouse,9677314.554,4838657.277,Metro,Warehouse,50%
89,FLR Warehouse,253814.3352,126907.1676,Metro,Warehouse,50%
104,FLR Warehouse,28980.94505,14490.47253,Metro,Warehouse,50%
114,FLR Warehouse,9028.004649,4514.002325,Metro,Warehouse,50%
117,FLR Warehouse,4295651.01,2147825.505,Metro,Warehouse,50%
150,FLR Warehouse,78444.63,39222.315,Metro,Warehouse,50%
154,FLR Warehouse,1183085.666,591542.8329,Metro,Warehouse,50%
161,FLR Warehouse,895643.6371,447821.8185,Metro,Warehouse,50%
223,FLR Warehouse,13716873.2,6858436.598,Metro,Warehouse,50%
229,FLR Warehouse,555186.5575,277593.2787,Metro,Warehouse,50%
244,FLR Warehouse,75163.32932,37581.66466,Metro,Warehouse,50%
267,FLR Warehouse,294940.6542,147470.3271,Metro,Warehouse,50%
271,FLR Warehouse,195630.9963,97815.49813,Metro,Warehouse,50%
273,FLR Warehouse,470666.3864,235333.1932,Metro,Warehouse,50%
290,FLR Warehouse,1595281.427,797640.7133,Metro,Warehouse,50%
294,FLR Warehouse,46729.05,23364.525,Metro,Warehouse,50%
323,FLR Warehouse,379229.3772,189614.6886,Metro,Warehouse,50%
355,FLR Warehouse,342247.1099,171123.555,Metro,Warehouse,50%
361,FLR Warehouse,65835.68653,32917.84327,Metro,Warehouse,50%
385,FLR Warehouse,1564321.967,782160.9835,Metro,Warehouse,50%
404,FLR Warehouse,150450.086,75225.04299,Metro,Warehouse,50%
405,FLR Warehouse,157764.3458,78882.17292,Metro,Warehouse,50%
411,FLR Warehouse,493261.0134,246630.5067,Metro,Warehouse,50%
418,FLR Warehouse,1845060.833,922530.4166,Metro,Warehouse,50%
441,FLR Warehouse,166416.982,83208.49101,Metro,Warehouse,50%
444,FLR Warehouse,6713763.012,3356881.506,Metro,Warehouse,50%
468,FLR Warehouse,34144.17604,17072.08802,Metro,Warehouse,50%
481,FLR Warehouse,761341.1334,380670.5667,Metro,Warehouse,50%
499,FLR Warehouse,732707.355,366353.6775,Metro,Warehouse,50%
504,FLR Warehouse,4142464.903,2071232.452,Metro,Warehouse,50%
536,FLR Warehouse,2469139.745,1234569.873,Metro,Warehouse,50%
542,FLR Warehouse,1488547.763,744273.8816,Metro,Warehouse,50%
570,FLR Warehouse,252845.5214,126422.7607,Metro,Warehouse,50%
575,FLR Warehouse,689261.6995,344630.8498,Metro,Warehouse,50%
618,FLR Warehouse,16429048.05,8214524.023,Metro,Warehouse,50%
623,FLR Warehouse,2450136.092,1225068.046,Metro,Warehouse,50%
636,FLR Warehouse,447840.3155,223920.1578,Metro,Warehouse,50%
714,FLR Warehouse,1363094.146,681547.0732,Metro,Warehouse,50%
715,FLR Warehouse,224747.7196,112373.8598,Metro,Warehouse,50%
721,FLR Warehouse,241807.7135,120903.8567,Metro,Warehouse,50%
727,FLR Warehouse,1162998.627,581499.3135,Metro,Warehouse,50%
733,FLR Warehouse,193276.3888,96638.1944,Metro,Warehouse,50%
763,FLR Warehouse,998010.508,499005.254,Metro,Warehouse,50%
776,FLR Warehouse,0,1000,Metro,Warehouse,50%
851,FLR Warehouse,52828.33675,26414.16838,Metro,Warehouse,50%
852,FLR Warehouse,7706817.094,3853408.547,Metro,Warehouse,50%
866,FLR Warehouse,0,1000,Metro,Warehouse,50%
869,FLR Warehouse,0,1000,Metro,Warehouse,50%
905,FLR Warehouse,18809956.16,9404978.079,Metro,Warehouse,50%
970,FLR Warehouse,4200384.482,2100192.241,Metro,Warehouse,50%
991,FLR Warehouse,2691225.489,1345612.744,Metro,Warehouse,50%
1000,FLR Warehouse,1627446.424,813723.2118,Metro,Warehouse,50%
1002,FLR Warehouse,381659.0275,190829.5137,Metro,Warehouse,50%
1025,FLR Warehouse,5572805.252,2786402.626,Metro,Warehouse,50%
1044,FLR Warehouse,2452194.56,1226097.28,Metro,Warehouse,50%
1114,FLR Warehouse,1477357.23,738678.615,Metro,Warehouse,50%
1131,FLR Warehouse,328781.556,164390.778,Metro,Warehouse,50%
1153,FLR Warehouse,1815016.761,907508.3804,Metro,Warehouse,50%
1175,FLR Warehouse,524577.9432,262288.9716,Metro,Warehouse,50%
1177,FLR Warehouse,2182066.385,1091033.193,Metro,Warehouse,50%
1292,FLR Warehouse,0,1000,Metro,Warehouse,50%
1301,FLR Warehouse,177182.8133,88591.40667,SalemKeizer,Warehouse,50%
1303,FLR Warehouse,25128.57406,12564.28703,SalemKeizer,Warehouse,50%
1313,FLR Warehouse,6757.79,3378.895,SalemKeizer,Warehouse,50%
1314,FLR Warehouse,33148.61,16574.305,SalemKeizer,Warehouse,50%
1316,FLR Warehouse,203465.48,101732.74,SalemKeizer,Warehouse,50%
1318,FLR Warehouse,53264.22,26632.11,SalemKeizer,Warehouse,50%
1324,FLR Warehouse,4229839.54,2114919.77,SalemKeizer,Warehouse,50%
1328,FLR Warehouse,40923.99,20461.995,SalemKeizer,Warehouse,50%
1337,FLR Warehouse,646383.24,323191.62,SalemKeizer,Warehouse,50%
1364,FLR Warehouse,325732.141,162866.0705,SalemKeizer,Warehouse,50%
1369,FLR Warehouse,11857.79,5928.895,SalemKeizer,Warehouse,50%
1374,FLR Warehouse,183666.75,91833.375,SalemKeizer,Warehouse,50%
1394,FLR Warehouse,489877.53,244938.765,SalemKeizer,Warehouse,50%
1401,FLR Warehouse,113416.49,56708.245,SalemKeizer,Warehouse,50%
1408,FLR Warehouse,11654.66,5827.33,SalemKeizer,Warehouse,50%
1415,FLR Warehouse,847396.85,423698.425,SalemKeizer,Warehouse,50%
1437,FLR Warehouse,91905.89,45952.945,SalemKeizer,Warehouse,50%
1453,FLR Warehouse,15009.39,7504.695,SalemKeizer,Warehouse,50%
1466,FLR Warehouse,11716.25,5858.125,SalemKeizer,Warehouse,50%
1468,FLR Warehouse,106180.1487,53090.07437,SalemKeizer,Warehouse,50%
1470,FLR Warehouse,340743.2006,204445.9204,NonMPO,Warehouse,60%
1501,FLR Warehouse,512313.11,256156.555,EugeneSpringfield,Warehouse,50%
1502,FLR Warehouse,6629.52,3314.76,EugeneSpringfield,Warehouse,50%
1503,FLR Warehouse,459956.5,229978.25,EugeneSpringfield,Warehouse,50%
1505,FLR Warehouse,2012409.291,1006204.645,EugeneSpringfield,Warehouse,50%
1525,FLR Warehouse,1714410.76,857205.38,EugeneSpringfield,Warehouse,50%
1553,FLR Warehouse,3568397.08,1784198.54,EugeneSpringfield,Warehouse,50%
1562,FLR Warehouse,692295.77,346147.885,EugeneSpringfield,Warehouse,50%
