vehicle_type,sctg2,auto,livestock,bulk,flatbed,tank,dry_van,reefer,logging,other
DBL,10,0,0,0.01584,0,0.01808,0,0,0,0
DBL,11,0,0,0.02342,0,0,0,0,0,0
DBL,12,0,0,0.02123,0,0.00041,0,0,0,0
DBL,13,0,0,0.00567,0.00066,0.01929,0,0,0,0
DBL,14,0,0,0.00851,0,0.0177,0,0,0,0
DBL,15,0,0,0.01622,0,0.00158,0,0,0,0
DBL,16,0,0,0,0,0.03043,0,0,0,0
DBL,17,0,0,0,0,0.00862,0.03876,0,0,0
DBL,18,0,0,0,0,0.02204,0,0,0,0
DBL,19,0,0,0.01252,0,0.01619,0,0,0,0
DBL,20,0,0,0.00395,0.01861,0.00758,0,0,0,0
DBL,21,0,0,0,0,0,0,0,0,0
DBL,22,0,0,0.00749,0.02477,0.00117,0,0,0,0
DBL,23,0,0,0,0,0,0,0.02186,0,0
DBL,24,0,0,0,0.01595,0,0.05582,0,0,0
DBL,25,0,0,0,0,0,0,0,0.02353,0
DBL,26,0,0,0.00151,0.02389,0,0.00368,0,0,0
DBL,27,0,0,0,0,0,0,0,0,0
DBL,28,0,0,0,0.0413,0,0,0,0,0
DBL,29,0,0,0,0,0,0,0,0,0
DBL,30,0,0,0,0,0,0.13793,0,0,0
DBL,31,0,0,0.00429,0.00411,0.01484,0,0,0,0
DBL,32,0,0,0.00232,0.01454,0,0,0,0.19078,0
DBL,33,0,0,0,0,0,0.0339,0,0,0
DBL,34,0,0,0,0.00878,0,0.03608,0,0,0
DBL,35,0,0,0,0,0,0,0,0,0
DBL,36,0,0,0,0,0,0.06667,0,0,0
DBL,37,0,0,0,0.02857,0,0,0,0,0
DBL,38,0,0,0,0,0,0.11765,0,0,0
DBL,39,0,0,0,0,0,0.03463,0,0,0
DBL,40,0,0,0,0,0,0.05285,0,0,0
DBL,41,0,0,0.01953,0,0,0,0,0,0
DBL,42,0,0,0,0,0,0,0,0,0
DBL,43,0,0,0,0,0,0.04439,0.00003,0,0
TPT,1,0,0,0,0,0,0,0,0,0
TPT,2,0,0,0,0,0,0,0,0,0
TPT,3,0,0,0,0,0,0,0,0,0
TPT,4,0,0,0,0,0,0,0,0,0
TPT,5,0,0,0,0,0,0,0,0,0
TPT,6,0,0,0,0,0,0,0,0,0
TPT,7,0,0,0,0,0,0,0,0,0
TPT,8,0,0,0,0,0,0,0,0,0
TPT,9,0,0,0,0,0,0,0,0,0
TPT,10,0,0,0,0,0,0,0,0,0
