AZone,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse,FLR Agriculture,FLR Logging
164,0.012736,0.270557,0.131178,0.654372,0,0,0,0,0.01116,0,0,0.01102,0,0.006528,0.000834,0,0,0
165,0.001619,0.045736,0.065092,0.738921,0,0,0,0,0,0,0,0.000293,0.012962,0.104932,0,0,0,0
166,0.005725,0.161467,0.230223,2.838547,0,0.000068,0,0,0.034008,0,0,0.027636,0.019534,0.071925,0.111134,0,0,0
167,0.003255,0.293179,0.125373,1.390972,0.000838,0.038964,0,0,0.002932,0,0,0.164021,0.001311,0.028415,0.00221,0,0,0
168,0.003132,0.167945,0.137332,1.156143,0,0,0,0,0.000744,0,0,0,0.00159,0.003238,0.000278,0,0,0
169,0.004127,0.191221,0.183149,1.304054,0,0,0,0,0,0,0,0.002344,0.000538,0.005836,0.016802,0,0,0
170,0.000005,0.349368,0.203325,1.377888,0,0,0,0,0.003665,0.000725,0,0.00312,0.000486,0.014794,0.00221,0,0,0
171,0,0.095417,0.037359,0.842442,0,0,0,0,0,0,0,0.002176,0,0.001758,0,0,0,0
172,0,0.317207,0.090172,0.575298,0,0,0,0.000428,0.001464,0,0.097216,0.062884,0.05823,0.391815,0.167185,0,0,0
173,0,0.105038,0.022864,0.231835,0,0,0,0,0,0,0,0,0,0.01835,0.000442,0,0,0
174,0.013102,0.207258,0.007279,0.279908,0,0,0,0,0.010995,0,0,0.001235,0.001758,0.001505,0.005746,0,0,0
175,0.040524,0.370069,0.50354,0.929829,0,0,0,0,0.002976,0.001053,0,0.005416,0.081928,0.044018,0.020016,0.192882,0,0
176,0,0.127553,0.054337,0.143726,0,0,0,0,0,0,0,0,0.001041,0.000522,0.003648,0,0,0
177,0.000085,0.163852,0.07958,0.091003,0,0,0,0,0,0,0,0.035729,0.001758,0.037257,0.01847,0,0,0
178,0.000417,0.060982,0.100654,0.457179,0,0,0,0,0.005952,0.000351,0,0,0.001035,0.008208,0.040696,0,0,0
179,0,0.079297,0.185915,0.784624,0,0,0,0,0.0218,0,0,0,0.00162,0.000879,0.013122,0,0,0
180,0,0.004331,0.072084,1.492944,0,0,0,0,0.020088,0,0,0.001563,0.001669,0.007346,0.051988,0,0,0
181,0.050658,0.061155,0.178954,3.160596,0,0,0,0,0.017112,0.001053,0,0.002839,0.003485,0.020716,0.015202,0.001581,0,0
182,0.023087,0.324245,0.500587,2.488223,0,0,0,0,0,0.000351,0,0.001599,0.0022,0.008353,0.095866,0,0,0
183,0.016067,0.214062,0.092698,1.135912,0,0,0,0,0.03348,0,0,0.014167,0.004588,0.010875,0.094062,0,0,0
184,0.004081,0.076557,0.0607,0.296841,0,0,0,0,0.028776,0,0,0.00363,0.001452,0.000424,0.013942,0,0,0
185,5.28349E-05,0.001976294,0.001008,0.571698,0,0,0,0,0.010416,0.000351,0,0.000257,0.002821,0.003526,0.027838,0,0,0
186,0.001034,0.015329,0.011962,0.175083,0,0,0,0,0.0012,0.000351,0,0.008202,0.014295,0.039252,0.093388,0.037944,0,0
187,0.000165,0.109799,0.051708,0.218032,0,0,0,0,0,0.000351,0,0.0077,0.023124,0.020398,0.101922,0,0,0
188,0.000105,0.189512,0.097162,0.345256,0,0,0,0,0,0,0,0.001112,0.008299,0.00642,0.012544,0,0,0
189,0,0.174716,0.058651,0.365774,0,0,0,0,0,0,0,0,0.015603,0.052971,0.157879,0.004743,0,0
190,0.00482,0.085149,0.278877,1.521926,0,0,0,0,0.000872,0,0,0.010815,0.004142,0.00162,0.002637,0.001929,0,0
191,0.009444,0.057693,0.284967,0.418761,0,0,0,0,0,0,0,0.013774,0,0.032912,0.043872,0,0,0
192,0.131684,0.156594,0.019846,0.413893,0,0,0,0,0,0,0,0.000238,0.00455,0.000968,0,0.040052,0,0
193,0.139021,0.041395,0.008742,0.067902,0,0,0,0,0,0,0,0,0,0.002662,0.007345,0.014212,0,0
194,0.128996,0.052002,0.009354,0.119225,0,0,0,0,0,0,0,0,0.000504,0.002741,0,0,0,0
195,0.025505,0.077305,0.037099,0.09618,0,0,0,0.015795,0,0,0,0,0,0.007501,0,0,0,0
196,0.011232,0.06971,0.059516,0.183213,0,0,0,0,0,0,0,0,0,0.001452,0.010608,0,0,0
197,0.026093,0.136193,0.043838,0.104968,0,0,0.002134,0,0.000732,0.000483,0.000248,0.001164,0.000468,0.814938,0.061589,0.00172,0,0
198,0.073858,0.126979,0.038742,0.339536,0,0,0,0.000255,0.010416,0,0,0.10992,0.000378,0.012624,0.085562,0,0,0
199,0.047076,0.04169,0.006897,0.140734,0,0,0,0,0,0,0,0,0,0.000442,0,0,0,0
