ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ImportFunctionEta,ImportFunctionDelta,ImportFunctionSlope,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ExportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,MonitorExchange
3177,SCTG39_OTH_FURN,217101.72748545633,217101.72748545633,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3181,SCTG39_OTH_FURN,17571.753673750187,17571.753673750187,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3183,SCTG39_OTH_FURN,2538.981331733718,2538.981331733718,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3184,SCTG39_OTH_FURN,2939.6951663853492,2939.6951663853492,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3185,SCTG39_OTH_FURN,33427.28956945089,33427.28956945089,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4001,SCTG39_OTH_FURN,38956.265951587586,38956.265951587586,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4002,SCTG39_OTH_FURN,198818.58184578718,198818.58184578718,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4003,SCTG39_OTH_FURN,246546.66984091513,246546.66984091513,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4004,SCTG39_OTH_FURN,466920.86859077355,466920.86859077355,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4005,SCTG39_OTH_FURN,108098.61357973481,108098.61357973481,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4006,SCTG39_OTH_FURN,121393.15269193219,121393.15269193219,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4007,SCTG39_OTH_FURN,1228600.6650820137,1228600.6650820137,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4008,SCTG39_OTH_FURN,33388.99938043676,33388.99938043676,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4009,SCTG39_OTH_FURN,457898.02514177555,457898.02514177555,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4010,SCTG39_OTH_FURN,254818.8927300616,254818.8927300616,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4011,SCTG39_OTH_FURN,2000.0,2000.0,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4012,SCTG39_OTH_FURN,327667.46062584163,327667.46062584163,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4013,SCTG39_OTH_FURN,146339.9656484998,146339.9656484998,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4014,SCTG39_OTH_FURN,725312.9680490736,725312.9680490736,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4015,SCTG39_OTH_FURN,1375342.1788793975,1375342.1788793975,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4016,SCTG39_OTH_FURN,5622850.181448533,5622850.181448533,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4017,SCTG39_OTH_FURN,904326.6240662041,904326.6240662041,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4018,SCTG39_OTH_FURN,54866.60439635644,54866.60439635644,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
4019,SCTG39_OTH_FURN,466084.53436588467,466084.53436588467,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
