"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2782",18790.976646,0,20596.585015,3670.13053166,52606.2578732,0,1675.0829919,21659.2084006,4906.42894802,1031634239,27059.7958748,65112.8628325,11838.7678781,29522.6728959,82130.1813812,667755.056965,483398.193763,41031.072569
"2783",0,73669310.46,12774.6722781,0,0,0,0,0,3319.72406026,3258300000,0,13156.0137907,480.425267911,0,31610.1977266,245096.088833,117098.876641,0
"2784",2158.18912856,163210000,1962.7908424,0,1857.6884886,0,223.279688467,0,0,13743187.1,0,1195.72586394,2070.91623095,309541.983037,1538.86445496,10160.4456577,12730.6693938,6303.36636781
"2785",13032.0171798,289990000,0,405.101868584,8326.14701669,0,3737.98569807,760.842097733,3319.72406026,1141100000,0,17374.5414061,2078.21971098,39425.7086609,41746.1908298,296089.688785,141460.567902,0
"2786",2440.37293266,174450000,0,0,43277.6172584,0,3594.80382826,24346.9471276,9663.07926891,2341700000,0,13775.4437041,6407.4817971,10821.2661474,33098.4970703,514518.930744,245821.122584,0
"2787",0,0,41358.7883,0,9366.83938821,0,44064.3894285,93012.2000088,38714.6864163,3292537.409,82856.5807937,23873.1499155,28443.8579376,139225.893233,0,0,1878049.20733,0
"2788",0,88752822.55,263.74008693,755.2344236,32180.9197144,0,11551.6352214,120629.387312,70753.5669297,0,337.301195691,84464.9488083,73518.9674235,77585.4807651,116872.343088,708007.067299,1253234.72771,55005.9143772
"2789",12906.8324464,193920000,13038.1558267,0,35724.900119,0,2690.68449092,0,126585.866858,195240443.4,0,47571.1591349,9871.17542234,23798.2285743,59899.8846251,878513.516135,637675.603773,6312.47270292
"2790",3428.66581328,0,129090.293824,0,183065.356176,0,18839.2440183,744.625847607,329301.255403,0,59177.3551024,47796.509925,116403.020486,210819.121367,0,0,321098.033891,82508.8715656
"2791",15185.671489,0,56159.719948,0,2136.9893261,133625.184018,138200.972791,52868.4351801,30928.4338372,0,85972.6322711,62602.4663513,41915.4969923,204975.737936,0,0,1231914.76974,0
"2792",0,0,23755.8899648,0,0,0,13412.3012969,72973.3330651,30592.412148,0,9884.94554678,0,34444.0785416,23714.1121879,0,0,848574.743751,0
"2793",35620.2037302,1078087.47,10524.9616693,59663.5194648,145692.240111,1113.54320013,31464.3404372,5957.00678086,43593.5638331,0,36244.8508393,0,110291.568096,185457.80909,0,0,579344.049473,609583.603853
"2794",0,2068762.443,118657.149435,0,0,0,24108.7457645,0,48879.3425145,0,123767.813791,14589.2244087,22185.4956291,160498.122314,0,0,361995.629231,0
"2795",0,0,32616.5415117,0,0,0,0,0,0,0,0,20072.5161034,0,0,25832.7451655,248167.485537,310944.846031,0
"2796",0,458549999.8,14594.8065677,0,3715.37697723,0,2495.4788711,50826.8288885,13402.3464893,38850.3,0,53575.0278879,2581.65244996,12371.2961864,68949.5046829,451211.796554,565351.993363,0
"2797",0,57507710.93,0,0,279956.217561,0,2495.4788711,53816.6423525,128221.403339,0,0,52280.3451973,54784.488307,20681.2965128,67283.2856524,496856.088413,622542.633366,26789.3070631
