Activity,Commodity,MorU,Coefficient,StdDev,Amount
ENGY_elec_hi,SCTG23_PCC_CHEM_prod,U,-0.002682287013158202,2.6347628398061685E-19,-2.3124739827480312E7
ENGY_elec_hi,SCTG24_PCC_PETR_plast,U,-0.0011938019888475537,1.08187305664297E-19,-1.0292097848665232E7
ENGY_elec_hi,SCTG26_FWP_WOOD,U,-1.215070005855523E-4,1.1644116692782919E-20,-1047545.5318444986
ENGY_elec_hi,SCTG27_PPP_PAPR_puplp,U,-7.883540238253772E-4,7.312826088607308E-20,-6796618.558520292
ENGY_elec_hi,SCTG28_PPP_PAPR_paper,U,-0.0010873660212382674,8.756974934914702E-20,-9374483.869558329
ENGY_elec_hi,SCTG29_PPP_PAPR_print,U,-2.3199600400403142E-4,1.9773482501877315E-20,-2000101.8560991224
ENGY_elec_hi,SCTG30_OTH_CLTH,U,-0.00494613079354167,4.32749222657188E-19,-4.264196455944052E7
ENGY_elec_hi,SCTG31_CMS_MIN,U,-7.98086985014379E-4,7.243508637101136E-20,-6880529.114751799
ENGY_elec_hi,SCTG32_MIT_METL_base,U,-3.792129864450544E-4,3.1163604179631814E-20,-3269300.267915246
ENGY_elec_hi,SCTG33_MIT_METL_prod,U,-0.0016772199887782335,1.523390449244995E-19,-1.4459778421802465E7
ENGY_elec_hi,SCTG34_MIT_MACH,U,-0.018892690539360046,1.5247145611414274E-18,-1.6287912189135668E8
ENGY_elec_hi,SCTG35_MIT_ELCT,U,-0.004350443836301565,3.977592972495323E-19,-3.750638218618008E7
ENGY_elec_hi,SCTG36_MIT_TRAN,U,-0.0025727839674800634,2.493088334370545E-19,-2.218068371819683E7
ENGY_elec_hi,SCTG37_MIT_INST_transp,U,-7.449999975506216E-5,6.214989019523942E-21,-642285.1480963228
ENGY_elec_hi,SCTG38_MIT_INST_prec,U,-0.0023987418971955776,2.218999587451442E-19,-2.0680218788597092E7
ENGY_elec_hi,SCTG39_OTH_FURN,U,-8.459999662591144E-5,8.789321761410624E-21,-729360.0206774457
ENGY_elec_hi,SCTG40_OTH_MISC,U,-4.2851499165408313E-4,3.954696500375463E-20,-3694346.520549289
ENGY_elec_hi,Energy,M,0.9964239001274109,9.427290937984562E-17,8.590446635760715E9
ENGY_elec_hi,Energy,U,-0.01178227923810482,1.0841091039268124E-18,-1.0157829517098993E8
ENGY_elec_hi,Retail Trade,U,-9.180000051856041E-5,8.185623938155445E-21,-791433.2499618507
ENGY_elec_hi,Transport,U,-0.03415602073073387,3.049429122282855E-18,-2.9446852222210735E8
ENGY_elec_hi,Wholesale Trade,U,-0.01873551867902279,1.6547036534054796E-18,-1.6152409971786457E8
ENGY_elec_hi,Construction,U,-0.29523518681526184,2.7695950250060033E-17,-2.5453043800043964E9
ENGY_elec_hi,Communications and Utilities,M,0.0035760989412665367,3.226912275385744E-19,3.0830540210067682E7
ENGY_elec_hi,Communications and Utilities,U,-0.03945473954081535,3.2780378092016257E-18,-3.401502458038936E8
ENGY_elec_hi,Accommodations,U,-0.0014964849688112736,1.3173814199030843E-19,-1.2901611717811607E7
ENGY_elec_hi,Personal and Other Services and Amusements,U,-7.87888013292104E-4,7.616952246224975E-20,-6792600.952542293
ENGY_elec_hi,Entertainment Services,U,-0.0030592039693146944,2.6803240752515587E-19,-2.637424538185502E7
ENGY_elec_hi,Food Services,U,-0.014905700460076332,1.310623998040714E-18,-1.2850617528799455E8
ENGY_elec_hi,Higher Education,U,-0.006523936055600643,6.198630949449944E-19,-5.624466106602465E7
ENGY_elec_hi,Fire Business and Professional Services,U,-0.15707215666770935,1.3237629227243837E-17,-1.354162600520993E9
ENGY_elec_hi,Internal Services Energy,U,-0.094763845205307,8.767661141971372E-18,-8.169853765366209E8
ENGY_elec_hi,Tax Receipts,U,-0.06908100098371506,5.677728034668989E-18,-5.955664576287843E8
ENGY_elec_hi,Investing Receipts,U,-1.0359499719925225E-4,9.846794658280564E-21,-893121.1857304557
ENGY_elec_hi,Return Investment Receipts,U,-0.2060740888118744,2.0410683602903648E-17,-1.7766218400874E9
ENGY_elec_hi,Proprietor Income Receipts,U,-0.007731146179139614,7.602366720663453E-19,-6.665235416038512E7
ENGY_elec_hi,D1-Production Specialists,U,-0.035156785913783774,8.988466640318139E-4,-3.0163532910176194E8
ENGY_elec_hi,D2-MaintConstRepair Specialists,U,-0.06055445277913871,0.0015481839063802441,-5.1954016313382435E8
ENGY_elec_hi,D3-ProtectTrans Specialists,U,-0.0046670366712984615,1.1932121920827074E-4,-4.004186120365598E7
ENGY_elec_hi,D4-Blue Collar Unskilled,U,-0.011532995429140207,2.9486185048568746E-4,-9.894985507328086E7
ENGY_elec_hi,FLR Heavy Industry,U,-6.476300062273593E-4,1.3902597969400278E-6,-5582921.271660216
ENGY_ngas_hi,SCTG03_FKP_AGRI_other,U,-1.2900000001536682E-5,1.0870633615539505E-21,-46480.583199136905
ENGY_ngas_hi,SCTG16_PCC_PETR_crude,U,-0.4146996736526489,3.808033558317022E-17,-1.4942234636876519E9
ENGY_ngas_hi,SCTG17_PCC_FUEL,U,-0.0012326419819146395,9.109120255148117E-20,-4441389.006845536
ENGY_ngas_hi,SCTG18_PCC_PETR_oil,U,-6.163209909573197E-4,4.554560127574059E-20,-2220694.503422768
ENGY_ngas_hi,SCTG19_PCC_COAL_prod,U,-8.503149729222059E-4,7.153221485738365E-20,-3063808.9798197118
ENGY_ngas_hi,SCTG20_PCC_CHEM_basic,U,-2.740370109677315E-4,2.200061557394944E-20,-987395.355535747
ENGY_ngas_hi,SCTG23_PCC_CHEM_prod,U,-0.00254715490154922,2.255925324959874E-19,-9177770.954142993
ENGY_ngas_hi,SCTG24_PCC_PETR_plast,U,-0.005789022892713547,5.404403508400154E-19,-2.0858694587164864E7
ENGY_ngas_hi,SCTG26_FWP_WOOD,U,-0.002108973916620016,1.6960258910726146E-19,-7598940.898030165
ENGY_ngas_hi,SCTG27_PPP_PAPR_puplp,U,-1.0513199958950281E-4,9.860911933857071E-21,-378805.94211080705
ENGY_ngas_hi,SCTG28_PPP_PAPR_paper,U,-3.912439860869199E-4,3.6246210889694436E-20,-1409709.1972332385
ENGY_ngas_hi,SCTG29_PPP_PAPR_print,U,-1.4906500291544944E-4,1.21217487951527E-20,-537102.9666097497
ENGY_ngas_hi,SCTG30_OTH_CLTH,U,-2.5100000129896216E-5,2.598578459776999E-21,-90438.9646664351
ENGY_ngas_hi,SCTG31_CMS_MIN,U,-0.0043508028611540794,3.258977936917027E-19,-1.5676577856343029E7
ENGY_ngas_hi,SCTG32_MIT_METL_base,U,-7.96295003965497E-4,7.153221485738365E-20,-2869167.145617547
ENGY_ngas_hi,SCTG33_MIT_METL_prod,U,-0.00815450306981802,7.757919228897728E-19,-2.938186498753047E7
ENGY_ngas_hi,SCTG34_MIT_MACH,U,-0.023474760353565216,2.1287554742493178E-18,-8.458298849331096E7
ENGY_ngas_hi,SCTG35_MIT_ELCT,U,-0.012527878396213055,1.2761440761036745E-18,-4.513977473135548E7
ENGY_ngas_hi,SCTG36_MIT_TRAN,U,-0.0047116451896727085,4.2073224251123505E-19,-1.6976745443202134E7
ENGY_ngas_hi,SCTG37_MIT_INST_transp,U,-1.340000017080456E-5,1.2597076457376908E-21,-48282.1568010338
ENGY_ngas_hi,SCTG38_MIT_INST_prec,U,-0.0013295999960973859,1.3304721714058236E-19,-4790742.886264714
ENGY_ngas_hi,SCTG39_OTH_FURN,U,-0.0013055859599262476,1.2221167263438852E-19,-4704216.808275041
ENGY_ngas_hi,SCTG40_OTH_MISC,U,-0.0038009618874639273,3.2927506310336693E-19,-1.3695420560152717E7
ENGY_ngas_hi,Energy,M,1.0,9.856850470332783E-17,3.6031459839999986E9
ENGY_ngas_hi,Energy,U,-0.0050649382174015045,3.3920517821452293E-19,-1.8249711797238342E7
ENGY_ngas_hi,Retail Trade,U,-4.989840090274811E-4,4.2400647276815366E-20,-1797912.2282075887
ENGY_ngas_hi,Transport,U,-0.08379486948251724,8.515021896997271E-18,-3.019251474557364E8
ENGY_ngas_hi,Wholesale Trade,U,-0.00935794785618782,9.023701299839497E-19,-3.371805223650458E7
ENGY_ngas_hi,Construction,U,-0.007272229064255953,6.240467640768374E-19,-2.6202902947601944E7
ENGY_ngas_hi,Communications and Utilities,U,-0.005052478983998299,4.2073224251123505E-19,-1.8204819360437855E7
ENGY_ngas_hi,Accommodations,U,-0.002039636019617319,1.9957082571087353E-19,-7349106.332905893
ENGY_ngas_hi,Personal and Other Services and Amusements,U,-0.0028434100095182657,2.9750262174351735E-19,-1.024522135666115E7
ENGY_ngas_hi,Entertainment Services,U,-7.835350115783513E-4,6.755504385500192E-20,-2823191.030291933
ENGY_ngas_hi,Food Services,U,-0.0030482769943773746,3.120233820384187E-19,-1.0983387010410426E7
ENGY_ngas_hi,Higher Education,U,-0.0029350770637392998,2.533143545273207E-19,-1.0575511134942774E7
ENGY_ngas_hi,Fire Business and Professional Services,U,-0.10465167462825775,8.244634499915479E-18,-3.770752611556818E8
ENGY_ngas_hi,Internal Services Energy,U,-0.04091039299964905,3.0105148626593548E-18,-1.4740611824054715E8
ENGY_ngas_hi,Tax Receipts,U,-0.061570171266794205,5.731849531461173E-18,-2.2184631533414167E8
