zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2468,0,1835498.2,1044715.94,626781.06,605583.9,726350.8,769683.94,422251.22,874128.3,679195.2,490920.06,704132.1,1010668.9,1021376.75
2469,0,2019076.8,1107864.4,696313.56,649773.4,851379.7,859901.7,489533.88,1048793.2,823024.2,603907.9,862352.1,1247035.4,1333205.9
2470,0,3157239.5,1795182.4,1071600.8,1045516.06,1232866.0,1317501.1,716440.9,1480085.0,1137124.9,833010.8,1200608.5,1723307.5,1719896.5
2471,0,2712084.2,1546362.6,935147.7,889182.75,1096990.8,1146595.1,638127.9,1325144.4,1048003.06,741628.75,1055707.6,1515711.9,1561260.0
2472,0,3626089.5,2054788.9,1208382.1,1214948.6,1351382.0,1488045.4,783551.0,1609938.2,1179073.9,915736.94,1341537.6,1921188.2,1837338.4
2473,0,1770990.4,1008419.5,603754.4,583638.44,695451.25,741389.2,403519.5,836312.5,634920.2,473528.66,682378.94,977452.6,972735.9
2474,0,3246808.8,1857075.2,1134468.0,1053028.8,1355188.2,1390086.2,788771.6,1644892.8,1325017.8,918000.8,1295382.2,1861522.1,1955464.0
2475,0,6481033.0,3544435.5,2189272.8,2118078.0,2588257.8,2703575.5,1484541.0,3162511.8,2354638.8,1842260.1,2680410.8,3867025.2,3937015.5
2476,0,4855761.5,2653327.8,1640928.6,1585707.2,1947135.5,2029969.6,1117911.4,2383323.0,1780068.6,1385306.1,2008682.0,2901988.8,2966810.8
2477,0,2691700.2,1137687.4,886697.7,873567.1,958845.9,1023696.1,544928.94,1266677.9,813655.6,781868.7,1341385.1,1836628.9,1783055.0
2479,0,3591520.0,1516471.5,1170743.5,1180278.1,1241397.4,1348188.2,705360.44,1637277.8,1022844.4,1009825.9,1749516.0,2392446.5,2262114.2
2480,0,5577064.0,2329155.5,1757915.9,1898865.1,1786822.8,2034679.5,1022949.0,2357478.2,1386421.0,1440924.6,2522517.8,3480621.8,3105531.5
2481,0,4803142.0,1999365.4,1488346.4,1662535.2,1474872.1,1722867.2,845903.0,1942173.5,1098032.2,1182873.4,2092923.6,2891773.0,2488126.0
2483,0,703886.5,386262.03,242479.64,226396.1,294731.28,299153.0,169186.75,362789.22,279868.34,210249.12,301349.2,434848.2,459929.25
2484,0,3756722.5,1565940.5,1171894.9,1292201.9,1172014.0,1356078.5,671691.8,1544582.1,885410.4,942334.75,1661075.9,2293226.2,1999095.6
2485,0,7520541.0,3779814.2,2368944.8,2530474.8,2110462.5,2486416.5,1181814.2,2657311.5,1539101.9,1370316.1,2334259.5,3074639.5,2635324.5
2486,0,3061615.2,1136467.5,1032638.8,1073528.6,982544.1,1051881.2,562336.75,1351439.8,753523.94,778282.7,1519537.2,1844067.6,1820512.4
2487,0,6789863.5,2899012.5,2290053.8,2446761.8,2169590.0,2516415.8,1297706.6,2953550.0,1674361.4,1644651.0,3011333.5,3458357.8,3514655.2
2488,0,2655113.0,1132445.8,889996.6,963000.0,835549.44,978363.44,500117.2,1136292.2,634745.5,632700.6,1163362.4,1335996.2,1339315.1
2489,0,4412716.5,1667229.4,1492486.9,1402702.5,1355264.0,1528095.5,753179.7,1860425.2,1037189.1,1133986.1,2096518.4,2627758.2,2530491.8
2490,0,965993.56,364369.0,322694.72,311679.28,287960.16,330449.84,160003.73,395068.0,214298.45,240085.67,446943.9,560525.5,526542.75
2491,0,900417.4,389281.97,318264.53,306737.3,321283.16,347443.44,190498.36,438243.56,272662.8,245484.28,439867.5,502806.3,557915.9
2492,0,1395955.2,603973.5,497140.2,470644.7,509171.44,543649.7,301967.34,695572.6,441473.44,389207.78,692414.56,792635.44,896159.94
2493,0,9980690.0,4285017.0,3427100.8,3521198.8,3326480.5,3752669.2,1980943.2,4527535.5,2665105.5,2529664.0,4599300.5,5266661.0,5542584.0
2494,0,439019.06,165596.1,146655.92,141650.62,130869.93,150180.62,72717.28,179547.39,97393.06,109111.95,203122.89,254742.92,239298.84
2495,0,5230787.5,1977760.5,1779873.0,1650260.0,1630819.8,1822653.8,906406.4,2239131.0,1266297.8,1366367.1,2517084.0,3154863.5,3076576.2
2496,0,5468701.0,2065175.6,1843814.6,1744842.1,1667964.5,1888303.8,926935.5,2289218.0,1269537.5,1393981.6,2580839.5,3236042.0,3100043.2
2497,0,4702701.0,2241604.5,1624268.8,1587289.9,1317902.0,1655035.4,739051.5,1605726.9,857322.75,890965.06,1577097.1,1955917.8,1709830.4
2498,0,4743616.5,2067801.5,1593684.8,1575113.9,1455254.2,1691250.2,824578.8,1883689.0,1133638.8,1062653.6,1871578.6,2502419.2,2308632.0
2499,0,6956368.0,3023103.0,2304452.2,2339619.2,2058537.4,2446534.2,1167628.6,2658103.5,1545584.5,1498187.1,2666280.2,3565760.8,3185506.5
2500,0,3079803.5,1362579.6,1079662.5,982513.1,1039159.4,1137166.4,583879.56,1347631.8,872715.0,765962.6,1328999.4,1761250.2,1748661.4
2501,0,2857345.8,1264093.6,1006834.06,906072.7,986245.0,1063603.6,554431.3,1279460.6,857131.5,723689.25,1243280.5,1654483.4,1686380.0
2502,0,1084228.0,587064.44,405351.7,311556.1,527530.9,485237.6,303014.75,664913.3,580631.1,395891.62,544194.94,813870.94,974076.25
2503,0,907376.06,491025.03,340775.84,261366.72,453350.12,409429.6,261445.6,571210.25,528447.8,333507.78,453027.97,682216.94,850425.7
2504,0,1065412.5,577717.1,405066.7,301768.8,544594.0,486189.78,313434.1,689083.2,632591.44,404906.9,548157.56,822367.2,1029512.56
