Azone,CNST_offc_off,RET_stor_off,SERV_site_li,ENGY_offc_off,MFG_food_hi,FIRE_real_off,SERV_bus_off,HLTH_care_inst,CNST_res_xxx,MFG_hvtw_li,WHSL_offc_off,HOSP_acc_acc,SERV_stor_ret,UTL_othr_off_li,HOSP_eat_ret_acc,RET_auto_ret,MFG_lvtw_hi,FIRE_fnin_off,MFG_htec_hi,INFO_info_off,MFG_hvtw_hi,MFG_wdppr_hi,CNST_othr_xxx,K12_k12_off,ENGY_elec_hi,SERV_tech_off,CNST_main_xxx,GOV_offc_off,no_industry,MFG_htec_li,RES_offc_off,TRNS_trns_off,RES_agmin_ag,K12_k12_k12,CNST_nres_xxx,ENT_ent_ret,GOV_admn_gov,HLTH_othr_off_li,MFG_offc_off,ENGY_ngas_hi,HLTH_hosp_hosp,RES_forst_log,HIED_hied_off_inst,MFG_food_li,RET_stor_ret,INFO_info_off_li,ENGY_ptrl_hi,RET_nstor_off,SERV_home_xxx,SERV_nonp_off_inst,WHSL_whsl_ware,UTL_othr_off,TRNS_trns_ware,Total
2914.0,12.0,4.0,2.0,4.0,1.0,3.0,17.0,5.0,1.0,0.0,0.0,0.0,23.0,1.0,33.0,21.0,0.0,14.0,0.0,2.0,0.0,0.0,1.0,9.0,1.0,19.0,4.0,15.0,1.0,0.0,5.0,6.0,6.0,16.0,4.0,5.0,6.0,14.0,21.0,0.0,5.0,0.0,8.0,0.0,66.0,1.0,2.0,12.0,9.0,17.0,7.0,0.0,5.0,408.0
2915.0,33.0,22.0,11.0,14.0,3.0,41.0,73.0,36.0,7.0,1.0,12.0,13.0,37.0,3.0,131.0,41.0,1.0,64.0,1.0,22.0,8.0,5.0,7.0,32.0,0.0,58.0,1.0,52.0,1.0,0.0,27.0,35.0,15.0,14.0,6.0,20.0,16.0,60.0,69.0,1.0,33.0,1.0,16.0,5.0,135.0,2.0,2.0,16.0,22.0,58.0,34.0,9.0,15.0,1341.0
2916.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,71.0
2917.0,3.0,4.0,1.0,3.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,11.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,102.0
2918.0,7.0,4.0,0.0,1.0,0.0,8.0,8.0,8.0,2.0,0.0,2.0,1.0,6.0,0.0,10.0,6.0,1.0,7.0,0.0,4.0,1.0,1.0,2.0,5.0,0.0,13.0,1.0,9.0,0.0,1.0,10.0,2.0,6.0,25.0,0.0,1.0,4.0,10.0,21.0,0.0,3.0,0.0,9.0,1.0,16.0,2.0,0.0,3.0,2.0,9.0,6.0,2.0,1.0,241.0
2919.0,4.0,3.0,1.0,1.0,2.0,7.0,10.0,7.0,2.0,1.0,0.0,4.0,14.0,0.0,21.0,17.0,0.0,9.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,18.0,1.0,10.0,0.0,0.0,2.0,5.0,2.0,3.0,4.0,6.0,8.0,9.0,13.0,0.0,4.0,0.0,1.0,0.0,42.0,1.0,0.0,6.0,2.0,10.0,5.0,0.0,5.0,271.0
2920.0,5.0,8.0,2.0,3.0,4.0,2.0,6.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,21.0,8.0,0.0,10.0,1.0,3.0,1.0,4.0,4.0,5.0,0.0,10.0,1.0,10.0,3.0,0.0,5.0,2.0,3.0,20.0,0.0,2.0,3.0,11.0,12.0,0.0,8.0,2.0,7.0,0.0,29.0,2.0,0.0,6.0,0.0,12.0,5.0,0.0,8.0,267.0
2921.0,4.0,3.0,6.0,0.0,1.0,2.0,9.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,21.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,6.0,2.0,7.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,7.0,9.0,0.0,5.0,0.0,0.0,1.0,28.0,0.0,0.0,5.0,4.0,9.0,2.0,2.0,2.0,180.0
2922.0,0.0,1.0,0.0,2.0,0.0,8.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,74.0
2923.0,3.0,2.0,1.0,0.0,1.0,4.0,7.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,8.0,0.0,0.0,6.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,4.0,0.0,0.0,6.0,2.0,3.0,10.0,1.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0,0.0,119.0
