AZone,FLRType,FLRName,BldgMSQFT
1652,AgForest,FLR Logging,7762236
1652,AgForest,FLR Agriculture,37025865.72
1653,AgForest,FLR Agriculture,32226074.11
1654,AgForest,FLR Agriculture,13461524.63
1655,AgForest,FLR Agriculture,64995088.18
1655,AgForest,FLR Logging,138061461.8
1656,AgForest,FLR Logging,210470165.8
1656,AgForest,FLR Agriculture,214679569.1
1657,AgForest,FLR Agriculture,248870000
1658,AgForest,FLR Logging,721730000.2
1659,AgForest,FLR Agriculture,138200000
1701,AgForest,FLR Agriculture,37528625.9
1702,AgForest,FLR Agriculture,784080
1702,AgForest,FLR Logging,111078000
1703,AgForest,FLR Logging,7847699.782
1704,AgForest,FLR Agriculture,163967851.4
1707,AgForest,FLR Agriculture,13329360
1707,AgForest,FLR Logging,19602000
1708,AgForest,FLR Agriculture,38811960
1708,AgForest,FLR Logging,58806000
1711,AgForest,FLR Agriculture,2352240
1711,AgForest,FLR Logging,21780000
1713,AgForest,FLR Agriculture,655263739.4
1715,AgForest,FLR Agriculture,456487.487
1716,AgForest,FLR Agriculture,53449411.76
1716,AgForest,FLR Logging,148470588.2
1717,AgForest,FLR Logging,37026000
1720,AgForest,FLR Logging,17796531.45
1720,AgForest,FLR Agriculture,23704979.9
1794,AgForest,FLR Logging,5011649.861
2001,AgForest,FLR Agriculture,1083770237
2002,AgForest,FLR Agriculture,214000000
2003,AgForest,FLR Agriculture,34081161.56
2004,AgForest,FLR Agriculture,279970000
2005,AgForest,FLR Logging,2978.5
2005,AgForest,FLR Agriculture,235530000
2006,AgForest,FLR Agriculture,12219311.01
2006,AgForest,FLR Logging,111810689
2007,AgForest,FLR Logging,149952144.1
2007,AgForest,FLR Agriculture,364383710.2
2008,AgForest,FLR Logging,6534000
2015,AgForest,FLR Logging,3461092.472
2017,AgForest,FLR Logging,5933104.867
2018,AgForest,FLR Agriculture,448919999.8
2018,AgForest,FLR Logging,2314746273
2019,AgForest,FLR Logging,16996874.53
2023,AgForest,FLR Agriculture,121851002.6
2023,AgForest,FLR Logging,1353900029
2024,AgForest,FLR Agriculture,22722857.14
2024,AgForest,FLR Logging,189357142.9
2026,AgForest,FLR Logging,86361348.63
2027,AgForest,FLR Agriculture,240320000
2027,AgForest,FLR Logging,2339300000
2028,AgForest,FLR Logging,8065760001
2029,AgForest,FLR Agriculture,13204411.99
2029,AgForest,FLR Logging,116149920.3
2035,AgForest,FLR Logging,28731665.88
2039,AgForest,FLR Agriculture,50766004.04
